year,ViolentCrimeRate,ViolentCrimeRateChange,MurderRate,MurderRateChange,RapeRate,RapeRateChange,RapeOldDefRate,RapeOldDefRateChange,RobberyRate,RobberyChange,AggAssaultRate,AggAssaultChange,PropertyCrimeRate,PropertyCrimeRateChange,BurgularyRate,BurgularyRateChange,TheftRate,TheftRateChange,VehicleTheftRate,VehicleTheftRateChange
2004,486.5,0,5.8,0,0,0,31.4,0,146.5,0,302.9,0,3590,0,743.6,0,2411,0,436,0
2005,492.8,6.3,6,0.2,0,0,31,-0.4,152.9,6.4,302.9,0,3513.3,-76.7,745.4,1.8,2334,-77,434,-2
2006,478.7,-14.1,5.8,-0.2,0,0,29.9,-1.1,150.8,-2.1,292.2,-10.7,3347.8,-165.5,734.2,-11.2,2213,-121,400,-34
2007,476.7,-2,5.8,0,0,0,29.1,-0.8,151.1,0.3,290.7,-1.5,3305,-42.8,734,-0.2,2203,-10,368,-32
2008,459.9,-16.8,5.4,-0.4,0,0,28.1,-1,147.4,-3.7,278.9,-11.8,3233.7,-71.3,739.7,5.7,2176,-27,318,-50
2009,434.3,-25.6,5.1,-0.3,0,0,28.1,0,135,-12.4,266.2,-12.7,3063.7,-170,724.2,-15.5,2078,-98,261,-57
2010,411.8,-22.5,4.8,-0.3,0,0,28.3,0.2,121.7,-13.3,257,-9.2,2989.8,-73.9,711.7,-12.5,2033,-45,245,-16
2011,389.4,-22.4,4.7,-0.1,0,0,27.2,-1.1,114.5,-7.2,243,-14,2912.1,-77.7,704.9,-6.8,1975,-58,232,-13
2012,387.9,-1.5,4.8,0.1,0,0,27.1,-0.1,113.1,-1.4,242.9,-0.1,2860.9,-51.2,672.6,-32.3,1958,-17,230,-2
2013,370.3,-17.6,4.5,-0.3,36.4,36.4,25.6,-1.5,109.7,-3.4,230.6,-12.3,2743.9,-117,612.3,-60.3,1909,-49,223,-7
2014,363.6,-6.7,4.5,0,37.2,0.8,26.2,0.6,102,-7.7,230.9,0.3,2589.2,-154.7,540.9,-71.4,1831,-78,218,-5
2015,372.4,8.8,4.9,0.4,39,1.8,27.7,1.5,101.6,-0.4,238.2,7.3,2481.2,-108,491.5,-49.4,1769,-62,221,3
2016,386.8,14.4,5.4,0.5,40.8,1.8,28.3,0.6,103.3,1.7,249.9,11.7,2459.4,-21.8,470.2,-21.3,1751,-18,238,17
2017,376.5,-10.3,5.6,0.2,42.2,1.4,28.4,0.1,95.6,-7.7,246.9,-3,2361.1,-98.3,428.7,-41.5,1696,-55,236,-2
2018,370.8,-5.7,5.1,-0.5,44.7,2.5,31.7,3.3,85.6,-10,248.4,1.5,2244.8,-116.3,384.6,-44.1,1628,-68,233,-3
2019,364.4,-6.4,5.2,0.1,44.2,-0.5,31.1,-0.6,80.2,-5.4,247.9,-0.5,2132.2,-112.6,339.2,-45.4,1572,-56,221,-12
2020,386.3,21.9,6.8,1.6,40.3,-3.9,28.3,-2.8,73.4,-6.8,277.7,29.8,1966.9,-165.3,311.8,-27.4,1407,-165,248,27
2021,360.9,-25.4,6.5,-0.3,43.1,2.8,32.1,3.8,56.4,-17,266,-11.7,1792.8,-174.1,264.9,-46.9,1287,-120,242,-6
2022,377.1,16.2,6.5,0,42.1,-1,30.4,-1.7,67.1,10.7,273,7,1973.8,181,272.7,7.8,1417,130,285,43
2023,363.8,-13.3,5.7,-0.8,38,-4.1,27.4,-3,66.5,-0.6,264.1,-8.9,1916.7,-57.1,250.7,-22,1347,-70,319,34
